age,no mobile,1 mobile,2 mobile,3 mobile,total
6 -> 10,229195,895847,16072,0,1141115
10 -> 14,352877,1969060,8417,571,2330925
15 -> 19,361183,4045768,17611,654,4425216
20 -> 24,561098,4159369,33114,3061,4756641
25 -> 29,671422,3864044,26313,1016,4562794
30 -> 34,865159,3636204,56315,2990,4560668
35 -> 39,1381645,3458400,40425,3176,4883646
40 -> 49,4682535,5138697,73535,4621,9899388
50 -> 59,5225678,2940019,48568,5121,8219386
60 and over,5082449,1244774,13554,1064,6341842
total,19413242,31352180,333925,22275,51121621
